player,year,1st_in,1st_won,2nd_won,bp_saved,v1st_won,v2nd_won,bp_cnvt,hld_rate,brk_rate
Adriana Serra Zanetti,2003,60.81,55.56,48.28,50.0,43.4,54.84,41.67,,
Ai Sugiyama,2003,60.77,64.29,45.09,53.43,39.73,61.99,43.3,,
Akiko Morigami,2003,60.19,62.7,43.9,58.76,31.74,57.02,42.0,,
Alexandra Stevenson,2003,63.61,66.8,40.3,71.67,24.97,44.68,36.11,,
Alicia Molik,2003,53.38,74.64,47.69,72.3,33.08,45.33,36.53,,
Alina Jidkova,2003,60.24,58.89,33.02,57.67,33.43,38.26,58.89,,
Amanda Coetzer,2003,67.07,60.28,44.76,57.98,37.71,49.55,41.09,,
Amandine Dulon,2003,55.36,58.06,32.0,14.29,22.58,69.7,57.14,,
Amber Liu,2003,64.81,51.43,47.37,33.33,21.43,27.78,25.0,,
Amelie Mauresmo,2003,62.47,74.42,51.45,26.28,39.74,58.25,42.53,,
Amy Frazier,2003,56.96,59.77,36.56,49.26,36.43,55.26,62.5,,
Anais Laurendon,2003,48.39,33.33,31.25,0.0,20.0,39.13,0.0,,
Anastasia Myskina,2003,55.02,62.97,45.78,54.61,42.86,54.8,49.37,,
Anastasia Rodionova,2003,60.0,64.1,26.92,66.67,21.21,50.0,0.0,,
Anca Barna,2003,63.33,54.72,35.22,40.56,38.92,51.18,44.55,,
Angela Haynes,2003,66.67,60.0,35.0,61.54,32.0,34.78,100.0,,
Angelika Roesch,2003,65.56,49.93,31.11,32.96,34.13,49.66,26.01,,
Angelique Widjaja,2003,66.14,57.5,40.64,53.72,31.53,58.5,61.31,,
Aniko Kapros,2003,64.87,59.85,45.35,35.42,36.92,55.76,55.52,,
Anna Smashnova,2003,66.11,62.06,46.16,68.5,37.61,58.4,41.19,,
Anne Keothavong,2003,55.0,54.55,27.78,50.0,21.43,50.0,0.0,,
Ansley Cargill,2003,63.73,45.28,30.22,51.18,20.7,49.78,22.22,,
Antonella Serra Zanetti,2003,60.8,53.8,43.85,55.3,40.65,55.83,60.62,,
Arantxa Parra Santonja,2003,44.08,69.37,40.78,45.83,28.06,47.48,18.18,,
Ashley Harkleroad,2003,71.49,58.83,40.87,55.48,35.03,54.86,33.65,,
Bahia Mouhtassine,2003,54.76,43.48,31.58,37.5,32.35,45.0,50.0,,
Barbara Rittner,2003,64.83,54.6,41.81,54.89,22.79,41.5,15.0,,
Barbara Schett,2003,61.74,62.85,45.96,57.99,34.41,53.26,34.74,,
Barbora Strycova,2003,57.32,57.78,53.73,56.25,35.29,53.23,35.29,,
Bea Bielik,2003,51.19,70.19,30.95,30.0,24.27,34.17,0.0,,
Bethanie Mattek Sands,2003,54.67,56.1,35.29,20.0,46.0,54.55,61.54,,
Camille Pin,2003,75.0,50.0,20.0,50.0,20.69,50.0,0.0,,
Cara Black,2003,56.28,58.35,45.16,47.11,39.48,50.08,53.67,,
Carly Gullickson,2003,51.28,59.75,38.04,48.62,28.23,49.23,54.28,,
Catalina Castano,2003,62.5,45.71,38.1,33.33,29.03,58.82,33.33,,
Celine Beigbeder,2003,70.91,48.72,62.5,42.86,30.95,50.0,33.33,,
Chanda Rubin,2003,60.32,59.48,50.15,50.91,42.18,58.53,48.06,,
Christina Wheeler,2003,60.87,50.0,37.04,54.55,36.84,56.52,33.33,,
Clarisa Fernandez,2003,57.14,61.8,47.6,60.69,37.34,49.09,34.89,,
Claudine Schaul,2003,61.19,62.41,48.42,56.78,43.56,50.54,51.49,,
Conchita Martinez,2003,58.22,62.73,46.86,50.79,39.79,59.56,52.54,,
Conchita Martinez Granados,2003,68.79,50.58,31.3,37.36,29.13,42.6,31.25,,
Corina Morariu,2003,48.71,57.36,40.23,48.22,27.25,54.37,36.11,,
Cristina Torrens Valero,2003,63.7,47.24,39.19,33.44,20.82,55.01,14.58,,
Daja Bedanova,2003,52.06,63.0,41.52,47.22,31.31,48.62,34.48,,
Dally Randriantefy,2003,64.04,59.91,37.54,55.36,34.9,50.92,35.96,,
Daniela Hantuchova,2003,61.54,62.84,53.02,46.01,40.72,57.31,45.9,,
Denisa Chladkova,2003,54.66,63.42,41.3,73.72,40.2,50.7,75.0,,
Dinara Safina,2003,53.5,63.64,44.13,35.77,37.14,54.24,38.8,,
Edina Gallovits Hall,2003,66.67,30.0,33.33,36.36,45.16,33.33,25.0,,
Elena Baltacha,2003,47.5,78.95,45.24,57.14,27.45,53.06,30.0,,
Elena Bovina,2003,72.23,61.8,37.46,30.49,36.02,48.05,47.3,,
Elena Dementieva,2003,63.58,65.28,41.97,50.55,39.43,59.38,70.56,,
Elena Likhovtseva,2003,61.64,67.05,46.19,62.47,35.34,56.05,46.66,,
Eleni Daniilidou,2003,66.55,63.7,40.62,60.09,40.29,48.37,43.44,,
Els Callens,2003,58.11,64.92,34.7,44.58,30.56,47.52,46.98,,
Emilie Loit,2003,62.2,64.99,52.85,56.67,33.31,59.35,36.79,,
Emmanuelle Gagliardi,2003,58.23,63.7,37.73,50.13,34.39,52.41,43.23,,
Eugenia Kulikovskaya,2003,63.27,57.54,42.13,40.74,33.42,46.23,49.05,,
Eva Birnerova,2003,67.69,54.55,38.1,28.57,33.33,56.82,33.33,,
Eva Fislova,2003,64.95,60.21,45.81,48.83,30.01,40.11,49.47,,
Evie Dominikovic,2003,52.57,61.25,30.12,65.48,25.09,44.2,25.0,,
Fabiola Zuluaga,2003,54.98,67.63,48.45,58.5,38.94,51.02,60.69,,
Flavia Pennetta,2003,54.61,66.1,35.61,50.81,31.97,55.68,40.21,,
Francesca Schiavone,2003,50.84,65.94,48.97,54.34,39.18,53.9,53.09,,
Gabriela Lastra,2003,48.0,45.83,26.92,25.0,25.0,45.45,50.0,,
Gala Leon Garcia,2003,67.0,55.55,32.48,49.24,31.26,49.0,24.6,,
Gisela Dulko,2003,57.52,58.46,47.92,57.14,37.84,47.83,30.77,,
Henrieta Nagyova,2003,71.52,43.59,49.74,41.28,36.99,46.76,35.47,,
Iroda Tulyaganova,2003,49.15,68.57,49.57,48.09,33.59,54.99,57.98,,
Iva Majoli,2003,62.82,54.92,25.62,30.21,28.75,50.28,29.71,,
Jane Odonoghue,2003,62.12,51.22,40.0,44.44,25.81,56.52,33.33,,
Janet Lee,2003,61.97,59.09,33.33,42.86,37.74,52.38,50.0,,
Janette Husarova,2003,57.99,53.83,38.25,54.18,33.71,47.78,60.19,,
Jelena Dokic,2003,59.42,70.06,43.94,62.05,33.65,54.28,39.02,,
Jelena Kostanic Tosic,2003,64.78,51.04,50.87,32.29,26.63,47.32,40.32,,
Jennifer Capriati,2003,57.82,71.03,51.8,44.59,45.61,63.53,53.19,,
Jill Craybas,2003,64.29,51.97,37.33,34.92,26.47,49.72,52.78,,
Joannette Kruger,2003,68.09,40.62,13.33,33.33,36.0,56.52,75.0,,
Julia Schruff,2003,82.0,47.56,66.67,57.14,40.0,48.72,36.36,,
Julia Vakulenko,2003,54.35,69.0,45.77,47.87,36.36,44.22,47.08,,
Julie Pullin,2003,50.0,51.72,24.14,41.67,37.5,55.17,30.0,,
Justine Henin,2003,53.27,72.79,53.38,54.09,47.38,58.78,56.43,,
Karolina Sprem,2003,49.53,62.92,34.72,46.43,25.86,45.44,27.5,,
Katarina Srebotnik,2003,61.35,64.21,49.47,61.95,34.59,59.72,33.19,,
Kim Clijsters,2003,66.45,70.75,49.87,55.43,45.18,62.83,57.47,,
Laura Granville,2003,61.8,60.75,50.1,51.84,39.65,59.63,41.66,,
Libuse Prusova,2003,71.11,40.62,23.08,28.57,40.0,44.44,50.0,,
Lina Krasnoroutskaya,2003,56.81,58.36,34.93,35.67,40.6,62.98,51.67,,
Lindsay Davenport,2003,60.01,72.09,50.74,60.52,43.26,60.13,59.54,,
Lindsay Lee Waters,2003,64.57,57.69,37.74,38.88,35.35,52.42,50.0,,
Lisa Raymond,2003,53.22,63.42,51.54,58.84,36.03,60.09,57.51,,
Lubomira Kurhajcova,2003,56.86,79.31,27.27,40.0,9.38,56.0,0.0,,
