match_id,Player 1,Player 2,Pl 1 hand,Pl 2 hand,Gender,Date,Tournament,Round,Time,Court,Surface,Umpire,Best of,Final TB?,Charted by
20220713-M-Newport-R16-Andy_Murray-Max_Purcell,Andy Murray,Max Purcell,R,R,M,20220713,Newport,R16,,Center,Grass,D. Torella,3,1,BG
20220712-M-Newport-R32-Andy_Murray-Sam_Querrey,Andy Murray,Sam Querrey,R,R,M,20220712,Newport,R32,,Stadium,Grass,R. Andrei,3,1,BG
20220712-M-Bastad-R32-Emil_Ruusuvuori-Dominic_Thiem,Emil Ruusuvuori,Dominic Thiem,R,R,M,20220712,Bastad,R32,,Center,Clay,Adel Nour,3,1,BG
20220706-M-Wimbledon-QF-Nick_Kyrgios-Cristian_Garin,Nick Kyrgios,Cristian Garin,R,R,M,20220706,Wimbledon,QF,,1,Grass,,5,A,Ludo
20220704-M-Wimbledon-R16-Rafael_Nadal-Botic_Van_De_Zandschulp,Rafael Nadal,Botic Van De Zandschulp,L,R,M,20220704,Wimbledon,R16,18:40,Centre Court,Grass,Carlos Bernardes,5,A,Zindaras
20220703-M-Wimbledon-R16-Novak_Djokovic-Tim_Van_Rijthoven,Novak Djokovic,Tim Van Rijthoven,R,R,M,20220703,Wimbledon,R16,20:00,Centre Court,Grass,James Keothavong,5,A,Zindaras
20220702-M-Wimbledon-R32-Stefanos_Tsitsipas-Nick_Kyrgios,Stefanos Tsitsipas,Nick Kyrgios,R,R,M,20220702,Wimbledon,R32,,,Grass,Damien Dumusois,5,A,Ludo
20220630-M-Wimbledon-R64-Nick_Kyrgios-Filip_Krajinovic,Nick Kyrgios,Filip Krajinovic,R,R,M,20220630,Wimbledon,R64,,2,Grass,,5,A,Ludo
20220628-M-Wimbledon-R128-Feliciano_Lopez-Botic_Van_De_Zandschulp,Feliciano Lopez,Botic Van De Zandschulp,L,R,M,20220628,Wimbledon,R128,16:20,4,Grass,,5,A,Zindaras
20220627-M-Wimbledon-R128-Federico_Delbonis-Tim_Van_Rijthoven,Federico Delbonis,Tim Van Rijthoven,L,R,M,20220627,Wimbledon,R128,17:40,11,Grass,Jacob Miles,5,A,Zindaras
20220619-M-Queens_Club-F-Filip_Krajinovic-Matteo_Berrettini,Filip Krajinovic,Matteo Berrettini,R,R,M,20220619,Queens Club,F,,Centre,Grass,,3,1,Ludo
20220617-M-Halle-QF-Roberto_Bautista_Agut-Daniil_Medvedev,Roberto Bautista Agut,Daniil Medvedev,R,R,M,20220617,Halle,QF,,,Grass,,3,1,Ludo
20220617-M-Halle-QF-Pablo_Carreno_Busta-Nick_Kyrgios,Pablo Carreno Busta,Nick Kyrgios,R,R,M,20220617,Halle,QF,,,Grass,,3,1,Ludo
20220615-M-Halle-R32-Daniil_Medvedev-David_Goffin,Daniil Medvedev,David Goffin,R,R,M,20220615,Halle,R32,,,Grass,,3,1,Ludo
20220615-M-Halle-R16-Stefanos_Tsitsipas-Nick_Kyrgios,Stefanos Tsitsipas,Nick Kyrgios,R,R,M,20220615,Halle,R16,,,Grass,,3,1,Ludo
20220612-M-s_Hertogenbosch-F-Tim_Van_Rijthoven-Daniil_Medvedev,Tim Van Rijthoven,Daniil Medvedev,R,R,M,20220612,s Hertogenbosch,F,14:40,Centre Court,Grass,Richard Haigh,3,1,Zindaras
20220612-M-Stuttgart-F-Andy_Murray-Matteo_Berrettini,Andy Murray,Matteo Berrettini,R,R,M,20220612,Stuttgart,F,,,Grass,,3,1,Ludo
20220611-M-s_Hertogenbosch-SF-Tim_Van_Rijthoven-Felix_Auger_Aliassime,Tim Van Rijthoven,Felix Auger Aliassime,R,R,M,20220611,s Hertogenbosch,SF,14:40,Centre,Grass,Arnaud Gabas,3,1,Zindaras
20220611-M-Stuttgart-SF-Andy_Murray-Nick_Kyrgios,Andy Murray,Nick Kyrgios,R,R,M,20220611,Stuttgart,SF,,,Grass,Nico Helwerth,3,1,Ludo
20220610-M-s_Hertogenbosch-QF-Tim_Van_Rijthoven-Hugo_Gaston,Tim Van Rijthoven,Hugo Gaston,R,L,M,20220610,s Hertogenbosch,QF,11:10,1,Grass,Raluca Alexandra Andrei,3,1,Zindaras
20220610-M-Stuttgart-QF-Stefanos_Tsitsipas-Andy_Murray,Stefanos Tsitsipas,Andy Murray,R,R,M,20220610,Stuttgart,QF,,,Grass,Carlos Bernardes,3,1,Ludo
