player,win_rate,surface,1st_rt_pt_won,2nd_rt_pt_won,bp_convert,df_to_ace,1st_in,1st_pt_won,2nd_pt_won
Guillermo Coria,91.67,hard,27.74,48.21,48.95,69.78,66.8,67.4,50.65
Roger Federer,88.89,hard,35.09,51.81,41.68,30.54,61.52,78.48,58.44
Carlos Moya,80.95,hard,29.13,49.23,42.61,42.4,55.72,77.67,63.54
Santiago Ventura,80.0,hard,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fernando Gonzalez,78.12,hard,28.59,48.61,29.16,91.33,56.67,73.27,61.75
Rafael Nadal,77.78,hard,32.47,49.99,40.28,67.18,69.72,69.57,53.29
David Nalbandian,75.0,hard,29.77,55.64,53.48,88.09,58.9,72.23,55.28
Gustavo Kuerten,75.0,hard,29.26,49.72,49.52,34.75,54.9,74.57,74.32
Marat Safin,73.91,hard,27.78,48.89,40.26,23.7,57.11,80.57,58.37
Gaston Gaudio,72.09,hard,25.43,48.57,34.5,136.81,62.61,67.04,42.73
Guillermo Coria,91.67,clay,38.35,61.75,51.72,119.17,68.18,70.99,54.05
Roger Federer,88.89,clay,35.26,51.29,43.85,48.71,60.42,79.38,60.23
Carlos Moya,80.95,clay,33.25,50.08,42.85,88.66,57.13,76.06,56.36
Santiago Ventura,80.0,clay,32.85,51.21,46.01,72.07,51.41,72.11,53.43
Fernando Gonzalez,78.12,clay,32.82,53.78,46.63,101.16,61.63,74.91,54.17
Rafael Nadal,77.78,clay,34.76,61.76,56.71,48.02,71.5,67.48,48.51
David Nalbandian,75.0,clay,33.55,54.52,44.73,126.43,60.68,67.29,55.05
Gustavo Kuerten,75.0,clay,30.36,51.39,50.8,45.22,55.74,74.25,55.9
Marat Safin,73.91,clay,33.79,51.01,41.31,48.11,53.92,73.12,60.88
Gaston Gaudio,72.09,clay,35.86,57.24,51.28,169.07,63.27,69.09,49.08
Guillermo Coria,91.67,grass,28.87,47.26,54.8,109.06,62.88,73.24,45.92
Roger Federer,88.89,grass,37.31,55.57,47.08,30.27,65.88,79.08,64.35
Carlos Moya,80.95,grass,25.73,49.6,46.1,30.3,60.02,79.5,59.59
Santiago Ventura,80.0,grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fernando Gonzalez,78.12,grass,20.86,47.6,25.92,43.76,59.31,79.07,51.48
Rafael Nadal,77.78,grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Nalbandian,75.0,grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gustavo Kuerten,75.0,grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marat Safin,73.91,grass,24.08,42.19,20.78,49.04,63.41,67.93,50.38
Gaston Gaudio,72.09,grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
