player,win_rate,surface,1st_rt_pt_won,2nd_rt_pt_won,bp_convert,hld_rate,brk_rate,1st_pt_won,2nd_pt_won
Rafael Nadal,96.0,hard,31.83,55.94,43.01,90.44,30.98,74.95,61.68
Dominic Thiem,81.48,hard,28.63,47.22,40.45,81.45,22.62,75.19,54.75
Steve Johnson,80.0,hard,25.14,46.04,39.53,82.26,17.78,77.25,50.81
Alexander Zverev,80.0,hard,28.33,48.91,49.93,86.17,24.11,75.95,53.31
Marin Cilic,77.78,hard,29.23,50.9,41.53,81.99,22.86,78.09,57.5
Novak Djokovic,76.47,hard,31.17,54.19,52.96,84.74,28.49,74.17,59.03
Stan Wawrinka,75.0,hard,28.71,47.71,42.02,85.81,20.8,75.51,58.23
Leonardo Mayer,70.0,hard,25.14,45.69,27.42,65.85,14.43,60.74,60.56
Jo-Wilfried Tsonga,70.0,hard,29.39,52.73,44.02,89.43,24.18,81.7,57.31
David Goffin,69.57,hard,29.32,54.84,45.23,80.45,28.49,74.04,55.92
Rafael Nadal,96.0,clay,44.4,58.93,48.33,88.49,50.27,73.3,64.88
Dominic Thiem,81.48,clay,36.54,53.7,45.67,82.78,34.13,74.23,53.06
Steve Johnson,80.0,clay,27.76,51.07,51.51,87.08,24.94,77.15,52.06
Alexander Zverev,80.0,clay,31.03,52.63,51.78,81.53,28.69,71.78,55.7
Marin Cilic,77.78,clay,38.89,54.48,47.47,87.86,37.16,79.41,63.21
Novak Djokovic,76.47,clay,35.11,55.14,46.63,78.99,35.24,70.4,47.99
Stan Wawrinka,75.0,clay,28.88,49.04,41.05,84.3,25.17,71.42,56.76
Leonardo Mayer,70.0,clay,27.14,47.93,39.86,87.26,20.42,73.47,62.75
Jo-Wilfried Tsonga,70.0,clay,33.33,49.12,36.51,86.29,25.85,78.39,56.06
David Goffin,69.57,clay,33.01,52.13,43.84,81.04,29.12,71.59,54.95
Rafael Nadal,96.0,grass,34.06,59.36,39.07,90.22,33.66,79.11,62.58
Dominic Thiem,81.48,grass,25.15,47.63,28.84,87.62,17.17,78.66,66.84
Steve Johnson,80.0,grass,27.48,41.07,54.4,81.81,18.17,74.36,51.53
Alexander Zverev,80.0,grass,29.38,53.67,53.43,87.96,26.73,78.59,48.92
Marin Cilic,77.78,grass,29.54,53.61,41.5,92.89,22.45,85.4,61.96
Novak Djokovic,76.47,grass,32.52,54.82,41.91,94.71,30.12,77.3,52.51
Stan Wawrinka,75.0,grass,14.0,44.66,16.66,81.94,5.56,77.22,48.9
Leonardo Mayer,70.0,grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jo-Wilfried Tsonga,70.0,grass,34.94,46.3,32.88,91.0,32.69,84.24,57.83
David Goffin,69.57,grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
