player,win_rate,hard_1st_rt_pt_won,hard_2nd_rt_pt_won,hard_bp_convert,hard_df_to_ace,hard_1st_in,hard_1st_pt_won,hard_2nd_pt_won,clay_1st_rt_pt_won,clay_2nd_rt_pt_won,clay_bp_convert,clay_df_to_ace,clay_1st_in,clay_1st_pt_won,clay_2nd_pt_won,grass_1st_rt_pt_won,grass_2nd_rt_pt_won,grass_bp_convert,grass_df_to_ace,grass_1st_in,grass_1st_pt_won,grass_2nd_pt_won
Rafael Nadal,96.3,32.93,55.38,47.97,49.62,66.71,72.01,53.26,41.25,59.94,51.47,69.73,63.85,73.32,62.63,34.43,51.98,43.64,72.59,67.95,73.14,62.23
Alexander Zverev,84.0,31.31,50.96,48.85,46.55,63.36,77.11,65.81,37.3,52.88,46.19,51.27,65.43,71.81,58.31,27.38,50.18,32.75,50.22,68.1,75.62,74.93
Dominic Thiem,78.95,30.06,49.26,37.37,48.64,57.65,77.58,58.28,33.85,53.68,43.68,75.9,60.16,74.14,55.48,18.9,40.62,30.0,64.16,53.26,78.68,36.53
Martin Klizan,77.78,25.59,49.59,46.17,53.59,59.33,71.83,50.94,33.65,49.04,58.03,74.52,64.57,69.56,55.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marin Cilic,71.43,30.2,50.71,39.89,34.27,58.62,79.69,61.56,31.68,51.18,47.25,45.18,58.24,79.41,56.34,28.1,50.23,28.49,18.66,61.22,88.16,62.66
David Goffin,70.59,28.87,55.88,42.13,66.41,61.77,72.84,53.44,35.75,51.51,54.58,77.36,61.72,70.55,50.88,14.34,34.72,50.0,158.34,56.2,64.78,58.82
Juan Martin del Potro,70.0,32.37,53.02,45.96,25.7,65.28,77.7,56.23,30.92,55.51,38.95,16.42,68.27,72.49,52.88,28.31,54.13,35.11,27.7,63.03,82.49,56.29
Taro Daniel,69.23,21.67,49.24,43.5,157.73,58.7,64.68,44.47,28.04,54.05,35.59,95.91,60.73,70.1,53.7,15.32,53.05,62.5,94.65,58.32,67.12,48.58
Diego Schwartzman,68.97,27.73,54.25,40.31,108.69,59.99,69.62,54.63,35.4,56.72,45.19,142.06,61.85,68.27,51.75,36.41,52.97,51.32,115.88,62.51,67.39,76.01
Steve Johnson,68.75,27.21,45.97,42.42,50.38,56.84,74.75,59.52,25.71,45.29,43.78,47.78,59.02,73.98,61.82,29.2,54.23,32.52,147.58,57.98,79.0,56.21
