player,win_rate,1st_rt_pt_won,2nd_rt_pt_won,bp_convert,hld_rate,brk_rate,1st_pt_won,2nd_pt_won
Novak Djokovic,91.67,31.93,59.37,44.93,87.4,30.91,77.61,54.4
Rafael Nadal,90.0,31.77,57.35,46.57,87.6,31.38,77.28,55.78
Andrey Rublev,83.33,32.41,53.88,50.21,89.29,30.55,81.75,55.67
Cristian Garin,78.95,18.55,51.99,33.82,69.68,14.14,70.25,50.24
Stefanos Tsitsipas,78.57,28.64,48.85,30.87,92.16,20.97,81.02,58.86
Diego Schwartzman,75.0,29.99,56.1,42.92,73.37,27.53,67.31,52.05
Casper Ruud,73.91,22.92,51.34,41.1,87.83,19.02,74.14,49.3
Laslo Djere,73.33,24.87,45.29,45.48,67.73,16.76,64.77,49.83
Yannick Hanfmann,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jannik Sinner,70.0,30.62,49.97,50.47,79.0,26.26,72.24,49.96
Novak Djokovic,91.67,41.82,56.65,45.98,83.92,42.19,71.86,52.85
Rafael Nadal,90.0,47.19,58.63,66.49,86.78,52.98,68.97,66.13
Andrey Rublev,83.33,36.53,53.26,47.48,81.34,35.21,75.72,55.17
Cristian Garin,78.95,35.9,53.45,45.96,76.48,34.67,70.45,46.16
Stefanos Tsitsipas,78.57,33.75,52.36,54.5,84.93,30.63,72.13,56.8
Diego Schwartzman,75.0,39.61,58.11,48.34,71.42,43.12,64.71,50.65
Casper Ruud,73.91,33.74,50.79,41.02,82.03,30.66,70.46,57.32
Laslo Djere,73.33,34.66,54.6,54.21,75.48,31.62,72.23,49.42
Yannick Hanfmann,70.0,35.21,49.69,51.34,80.94,32.22,72.06,51.97
Jannik Sinner,70.0,36.89,52.22,57.45,81.13,36.87,69.94,52.82
Novak Djokovic,91.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rafael Nadal,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrey Rublev,83.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cristian Garin,78.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stefanos Tsitsipas,78.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diego Schwartzman,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Casper Ruud,73.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Laslo Djere,73.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yannick Hanfmann,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jannik Sinner,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
