player,win_rate,hard_1st_rt_pt_won,hard_2nd_rt_pt_won,hard_bp_convert,hard_df_to_ace,hard_1st_in,hard_1st_pt_won,hard_2nd_pt_won,clay_1st_rt_pt_won,clay_2nd_rt_pt_won,clay_bp_convert,clay_df_to_ace,clay_1st_in,clay_1st_pt_won,clay_2nd_pt_won,grass_1st_rt_pt_won,grass_2nd_rt_pt_won,grass_bp_convert,grass_df_to_ace,grass_1st_in,grass_1st_pt_won,grass_2nd_pt_won
Lleyton Hewitt,93.33,34.91,54.33,43.95,76.26,48.89,75.71,48.38,35.48,52.44,45.09,108.92,56.42,69.18,49.97,34.53,60.54,38.94,48.73,53.54,76.97,61.44
Yevgeny Kafelnikov,87.5,27.48,47.93,46.51,104.38,53.96,75.95,56.41,35.22,43.72,54.92,132.72,56.9,67.53,53.88,28.67,53.27,40.52,87.53,49.52,82.56,55.94
Sjeng Schalken,85.71,26.38,46.59,37.6,104.22,66.03,69.6,51.07,39.3,50.78,42.86,69.67,64.71,62.54,38.03,29.57,56.17,43.04,110.27,67.75,74.52,55.03
David Nalbandian,85.71,27.13,53.37,46.82,121.8,58.62,67.0,59.28,32.8,53.88,51.82,135.01,59.54,64.65,50.99,28.96,57.51,37.26,160.13,53.17,67.68,52.29
Tim Henman,81.82,34.34,52.52,44.86,72.86,63.7,69.68,51.14,31.75,45.57,55.93,161.11,62.95,68.02,46.8,33.51,52.48,40.5,50.71,64.89,73.91,51.61
Arnaud Clement,77.78,25.89,52.37,40.85,89.29,57.84,70.3,58.93,34.02,48.42,43.98,136.35,54.96,65.38,47.71,37.65,60.96,67.36,45.08,61.08,73.51,51.76
Xavier Malisse,75.0,29.29,50.46,43.71,55.57,56.45,72.91,52.0,34.46,47.55,33.89,78.33,58.34,64.34,49.67,27.7,50.75,48.44,29.92,56.85,78.05,55.74
Wayne Arthurs,71.43,21.6,38.08,23.64,36.42,57.72,81.11,53.39,24.18,38.67,24.66,58.22,53.75,79.51,60.58,24.12,48.03,33.77,21.35,60.98,83.09,58.32
Mark Philippoussis,71.43,27.05,45.35,44.74,38.36,53.34,81.17,61.97,29.98,44.41,43.95,82.38,59.99,73.31,45.34,27.32,53.9,47.31,51.42,52.65,86.31,54.94
Wayne Ferreira,71.43,28.4,48.08,54.31,36.64,53.37,75.13,49.26,30.18,43.92,44.41,31.01,49.52,73.67,56.86,28.82,41.36,33.88,24.38,56.28,80.55,50.52
