player,win_rate,surface,1st_rt_pt_won,2nd_rt_pt_won,bp_convert,hld_rate,brk_rate,1st_pt_won,2nd_pt_won
Rafael Nadal,90.0,hard,30.22,54.02,46.65,90.01,28.17,77.04,60.98
Lleyton Hewitt,88.89,hard,33.44,55.62,51.17,77.66,34.33,73.77,51.04
Tomas Berdych,85.71,hard,30.73,51.41,40.92,85.91,24.59,78.76,60.73
Mardy Fish,84.62,hard,29.14,50.53,46.09,82.77,25.49,77.85,55.81
Michael Llodra,81.82,hard,27.33,42.96,45.84,79.79,17.24,75.69,48.3
Sam Querrey,81.82,hard,25.62,49.6,43.12,87.0,20.45,79.11,53.73
Roger Federer,80.0,hard,35.05,50.83,48.15,90.2,30.23,80.59,58.19
Andy Murray,75.0,hard,32.01,56.96,43.77,83.31,33.96,77.54,55.01
Novak Djokovic,75.0,hard,33.91,54.89,47.67,83.53,33.36,71.97,54.3
Xavier Malisse,72.73,hard,25.58,47.12,42.37,76.93,18.14,73.21,49.31
Rafael Nadal,90.0,clay,40.09,61.22,54.2,92.27,45.09,73.58,58.9
Lleyton Hewitt,88.89,clay,33.65,51.33,58.55,65.74,29.05,68.19,50.19
Tomas Berdych,85.71,clay,37.96,56.48,47.88,88.25,39.05,80.14,60.17
Mardy Fish,84.62,clay,29.63,50.48,60.1,78.63,21.89,76.71,49.16
Michael Llodra,81.82,clay,26.07,42.3,42.5,74.56,14.92,67.2,44.77
Sam Querrey,81.82,clay,33.57,47.79,43.62,83.55,26.39,78.28,48.67
Roger Federer,80.0,clay,35.66,50.45,39.9,87.46,27.69,75.5,59.8
Andy Murray,75.0,clay,34.92,50.82,47.49,76.54,29.02,75.36,51.36
Novak Djokovic,75.0,clay,38.75,55.85,54.27,77.05,40.93,67.73,45.39
Xavier Malisse,72.73,clay,29.03,43.91,35.32,70.1,16.39,70.68,59.64
Rafael Nadal,90.0,grass,25.9,56.59,49.03,91.17,27.66,79.15,62.15
Lleyton Hewitt,88.89,grass,30.46,59.62,49.75,91.48,30.1,82.77,60.63
Tomas Berdych,85.71,grass,27.19,50.01,39.35,91.91,17.82,82.97,65.78
Mardy Fish,84.62,grass,28.02,53.0,56.48,92.84,26.55,85.72,62.98
Michael Llodra,81.82,grass,29.32,55.48,64.05,93.06,30.14,81.18,59.86
Sam Querrey,81.82,grass,23.16,51.9,51.54,90.29,18.33,79.99,56.63
Roger Federer,80.0,grass,27.39,55.51,43.42,92.74,26.16,80.06,55.0
Andy Murray,75.0,grass,29.87,52.89,43.36,93.69,25.65,84.61,70.42
Novak Djokovic,75.0,grass,26.82,54.69,39.03,88.16,25.26,76.05,51.92
Xavier Malisse,72.73,grass,34.26,47.77,52.23,83.83,25.65,76.39,49.84
