player,win_rate,surface,1st_rt_pt_won,2nd_rt_pt_won,bp_convert,df_to_ace,1st_in,1st_pt_won,2nd_pt_won
Roger Federer,88.24,hard,31.51,51.18,47.83,23.44,61.24,79.86,65.52
Andy Murray,85.71,hard,32.98,56.68,44.88,37.85,58.78,74.58,55.22
David Ferrer,84.62,hard,33.11,54.11,48.96,113.5,60.85,71.55,75.76
Tommy Haas,83.33,hard,29.19,52.48,40.51,73.86,58.42,75.5,54.11
Marin Cilic,81.82,hard,30.55,52.48,38.49,64.06,53.43,71.99,55.12
John Isner,80.0,hard,24.65,42.41,36.72,15.93,67.18,77.94,54.33
Juan Martin del Potro,80.0,hard,29.09,53.02,41.99,33.19,63.74,76.7,61.6
Philipp Kohlschreiber,75.0,hard,27.53,49.87,52.28,38.28,59.62,73.31,55.52
Xavier Malisse,75.0,hard,27.75,46.61,36.32,42.46,54.87,72.7,56.24
Jo-Wilfried Tsonga,75.0,hard,32.21,48.2,47.59,25.98,60.82,77.78,54.04
Roger Federer,88.24,clay,30.11,53.64,49.0,24.1,63.11,77.06,62.69
Andy Murray,85.71,clay,36.22,56.36,45.36,52.84,60.76,75.46,54.24
David Ferrer,84.62,clay,38.51,54.08,45.53,68.76,64.65,75.41,55.55
Tommy Haas,83.33,clay,35.32,53.09,50.65,95.35,59.59,73.49,64.96
Marin Cilic,81.82,clay,34.58,53.55,50.93,55.84,54.49,71.39,73.12
John Isner,80.0,clay,24.51,40.77,22.17,15.31,68.38,76.38,54.97
Juan Martin del Potro,80.0,clay,37.45,50.84,48.57,28.74,66.79,73.8,56.22
Philipp Kohlschreiber,75.0,clay,32.57,50.47,44.52,45.06,61.16,73.71,61.0
Xavier Malisse,75.0,clay,27.35,46.13,37.62,40.89,56.09,69.95,59.62
Jo-Wilfried Tsonga,75.0,clay,34.4,49.72,45.47,42.99,65.27,69.59,50.09
Roger Federer,88.24,grass,31.37,53.09,39.49,12.2,67.28,77.37,56.68
Andy Murray,85.71,grass,31.56,55.95,41.82,17.77,63.26,78.08,61.83
David Ferrer,84.62,grass,31.12,58.65,52.03,17.31,67.88,77.09,67.38
Tommy Haas,83.33,grass,27.34,45.4,44.17,22.68,64.69,81.73,61.25
Marin Cilic,81.82,grass,35.93,49.63,49.89,32.01,61.53,74.97,56.85
John Isner,80.0,grass,25.37,41.56,40.63,12.69,72.62,83.09,57.72
Juan Martin del Potro,80.0,grass,29.19,47.91,47.27,45.33,67.2,73.16,53.82
Philipp Kohlschreiber,75.0,grass,25.93,52.54,51.42,20.89,58.75,80.99,59.87
Xavier Malisse,75.0,grass,26.9,53.28,49.22,21.7,64.85,77.2,53.54
Jo-Wilfried Tsonga,75.0,grass,26.05,43.61,40.31,12.57,65.09,78.7,60.91
