player,win_rate,surface,1st_rt_pt_won,2nd_rt_pt_won,bp_convert,hld_rate,brk_rate,1st_pt_won,2nd_pt_won
Roger Federer,98.04,hard,35.9,52.5,47.54,92.33,33.69,77.05,61.34
Rafael Nadal,82.35,hard,33.85,56.3,45.3,84.95,32.48,72.22,57.45
Lleyton Hewitt,80.56,hard,33.68,54.11,44.79,84.92,33.68,78.37,55.33
Andre Agassi,80.0,hard,33.06,52.23,42.95,88.33,30.38,76.13,61.98
Ivan Ljubicic,76.92,hard,28.59,46.83,42.42,90.13,21.42,77.81,58.41
Andy Roddick,75.0,hard,26.37,49.48,45.82,93.93,21.0,83.68,58.09
Joachim Johansson,75.0,hard,23.18,47.0,42.69,92.02,17.81,80.1,55.64
Marat Safin,75.0,hard,29.64,52.46,38.91,81.47,28.37,76.37,53.19
Robby Ginepri,70.21,hard,28.94,51.46,46.29,87.27,27.2,74.39,57.16
Guillermo Canas,70.0,hard,36.63,53.81,49.48,78.48,31.14,71.18,53.77
Roger Federer,98.04,clay,39.91,52.79,54.41,86.86,37.58,74.02,60.32
Rafael Nadal,82.35,clay,42.81,60.33,55.6,86.47,48.57,72.55,56.79
Lleyton Hewitt,80.56,clay,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andre Agassi,80.0,clay,31.01,56.16,52.34,77.91,28.8,74.58,48.99
Ivan Ljubicic,76.92,clay,33.44,37.99,47.9,77.97,19.93,71.29,57.68
Andy Roddick,75.0,clay,35.02,53.88,42.79,89.82,32.18,79.0,57.94
Joachim Johansson,75.0,clay,21.25,44.28,17.86,70.21,6.38,72.7,53.61
Marat Safin,75.0,clay,38.16,49.12,41.29,79.73,33.94,75.33,51.26
Robby Ginepri,70.21,clay,31.08,45.38,47.25,65.62,24.15,65.1,48.02
Guillermo Canas,70.0,clay,38.27,53.8,47.48,80.73,37.86,69.98,56.58
Roger Federer,98.04,grass,28.44,54.12,48.33,93.1,26.52,80.62,62.16
Rafael Nadal,82.35,grass,23.53,52.49,23.4,90.29,19.13,78.6,54.84
Lleyton Hewitt,80.56,grass,30.01,42.94,49.48,89.54,21.11,80.55,57.14
Andre Agassi,80.0,grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ivan Ljubicic,76.92,grass,22.05,47.05,17.78,84.4,10.22,68.47,66.65
Andy Roddick,75.0,grass,24.7,52.65,42.98,91.86,21.4,81.55,54.61
Joachim Johansson,75.0,grass,19.08,38.13,17.56,82.25,6.63,74.79,56.23
Marat Safin,75.0,grass,29.86,49.11,43.63,87.47,21.51,75.17,56.14
Robby Ginepri,70.21,grass,26.05,58.94,35.09,71.92,26.53,63.63,62.0
Guillermo Canas,70.0,grass,36.28,43.11,37.2,84.81,25.39,70.44,60.56
