player,win_rate,surface,1st_rt_pt_won,2nd_rt_pt_won,bp_convert,df_to_ace,1st_in,1st_pt_won,2nd_pt_won
Andy Murray,87.04,hard,35.19,58.31,48.72,39.66,57.72,77.64,53.26
Novak Djokovic,82.81,hard,32.97,54.2,43.62,75.8,63.15,73.05,54.36
Juan Martin del Potro,78.43,hard,29.94,52.94,41.12,38.96,63.1,73.83,52.85
Roger Federer,78.26,hard,30.74,51.34,43.42,33.24,63.37,78.75,58.61
Rafael Nadal,77.78,hard,32.66,57.66,46.1,49.76,66.16,72.64,58.34
Andy Roddick,76.09,hard,29.3,50.43,42.32,17.61,69.81,78.64,56.75
Jo-Wilfried Tsonga,73.21,hard,29.42,48.13,40.38,24.73,63.25,81.75,58.31
Marin Cilic,72.92,hard,33.31,50.58,37.54,35.71,56.45,76.09,56.9
Nikolay Davydenko,72.5,hard,31.94,53.66,43.4,49.34,65.17,73.41,55.36
Radek Stepanek,72.34,hard,32.59,53.6,40.81,57.24,61.38,74.19,56.26
Andy Murray,87.04,clay,39.12,52.32,44.11,28.29,58.51,69.37,55.79
Novak Djokovic,82.81,clay,38.5,57.39,43.72,95.63,62.61,72.61,61.51
Juan Martin del Potro,78.43,clay,33.84,52.64,42.93,45.5,57.08,75.72,58.38
Roger Federer,78.26,clay,32.96,50.62,48.18,27.64,58.63,80.01,59.64
Rafael Nadal,77.78,clay,39.14,59.23,55.55,59.18,69.09,70.19,57.46
Andy Roddick,76.09,clay,28.09,46.67,31.56,12.35,72.08,75.76,53.6
Jo-Wilfried Tsonga,73.21,clay,29.61,45.43,48.11,49.26,63.74,72.31,60.49
Marin Cilic,72.92,clay,38.13,49.08,42.06,48.69,55.65,72.64,56.43
Nikolay Davydenko,72.5,clay,37.73,55.56,39.87,100.4,71.73,70.65,54.05
Radek Stepanek,72.34,clay,29.3,51.25,41.05,97.81,60.67,69.78,47.76
Andy Murray,87.04,grass,31.64,55.32,59.11,20.51,60.3,84.84,64.61
Novak Djokovic,82.81,grass,32.58,52.82,43.59,29.82,63.84,75.93,56.99
Juan Martin del Potro,78.43,grass,23.29,53.46,39.58,20.0,64.32,79.05,62.58
Roger Federer,78.26,grass,26.3,50.55,44.71,12.45,67.42,87.53,63.62
Rafael Nadal,77.78,grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andy Roddick,76.09,grass,19.24,46.3,36.17,8.13,68.71,84.52,57.85
Jo-Wilfried Tsonga,73.21,grass,21.05,41.38,16.24,18.3,66.78,83.14,61.6
Marin Cilic,72.92,grass,26.55,43.43,33.28,31.48,61.35,78.2,59.73
Nikolay Davydenko,72.5,grass,31.28,58.17,48.25,74.29,65.63,75.53,41.88
Radek Stepanek,72.34,grass,27.44,55.54,54.2,49.2,63.18,73.7,47.71
