player,win_rate,hard_1st_rt_pt_won,hard_2nd_rt_pt_won,hard_bp_convert,hard_df_to_ace,hard_1st_in,hard_1st_pt_won,hard_2nd_pt_won,clay_1st_rt_pt_won,clay_2nd_rt_pt_won,clay_bp_convert,clay_df_to_ace,clay_1st_in,clay_1st_pt_won,clay_2nd_pt_won,grass_1st_rt_pt_won,grass_2nd_rt_pt_won,grass_bp_convert,grass_df_to_ace,grass_1st_in,grass_1st_pt_won,grass_2nd_pt_won
Roger Federer,91.49,31.86,52.18,43.24,24.85,60.77,80.27,62.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.79,52.91,39.0,14.56,66.88,82.31,58.95
Novak Djokovic,80.0,31.17,54.19,52.96,60.46,65.48,74.17,59.03,35.11,55.14,46.63,66.95,65.98,70.4,47.99,32.52,54.82,41.91,47.01,70.3,77.3,52.51
Andy Murray,80.0,37.05,57.41,52.3,51.91,60.44,76.28,72.0,35.37,50.1,49.55,141.03,57.98,70.11,52.32,28.17,56.82,40.59,39.26,59.48,73.94,59.7
Rafael Nadal,78.85,31.83,55.94,43.01,65.3,68.18,74.95,61.68,44.4,58.93,48.33,54.6,66.28,73.3,64.88,34.06,59.36,39.07,18.25,67.06,79.11,62.58
Grigor Dimitrov,78.0,30.29,52.77,38.96,52.1,62.9,79.51,64.21,29.81,49.03,42.97,75.14,59.43,76.02,-120.65,30.3,54.7,43.81,38.13,63.8,79.82,54.74
Stan Wawrinka,73.68,28.71,47.71,42.02,50.89,58.98,75.51,65.7,28.88,49.04,41.05,34.99,59.04,71.42,64.93,14.0,44.66,16.66,156.25,61.18,77.22,48.9
Jo-Wilfried Tsonga,71.79,29.39,52.73,44.02,24.19,60.09,81.7,84.04,33.33,49.12,36.51,35.78,64.32,78.39,56.06,34.94,46.3,32.88,20.58,63.34,84.24,57.83
David Goffin,71.67,29.32,54.84,45.23,69.65,58.19,74.04,58.64,33.01,52.13,43.84,61.22,57.51,71.59,54.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kei Nishikori,71.43,31.17,54.05,43.4,93.02,62.96,72.39,55.16,32.36,54.3,50.82,70.23,61.68,70.18,55.23,28.81,64.17,35.76,82.52,61.84,75.39,20.33
Juan Martin del Potro,71.43,26.63,51.02,45.18,30.92,63.99,77.16,52.38,33.96,46.37,41.34,37.91,65.43,74.34,49.58,18.76,48.93,29.16,23.11,67.2,72.15,52.48
