player,win_rate,1st_rt_pt_won,2nd_rt_pt_won,bp_convert,hld_rate,brk_rate,1st_pt_won,2nd_pt_won
Novak Djokovic,88.24,31.93,59.37,44.93,87.4,30.91,77.61,54.4
Gael Monfils,80.0,31.94,55.62,46.64,82.98,30.52,71.96,47.59
Andrey Rublev,79.49,32.41,53.88,50.21,89.29,30.55,81.75,55.67
Daniil Medvedev,77.78,31.59,57.12,44.36,87.95,28.66,79.52,58.98
Rafael Nadal,75.0,31.77,57.35,46.57,87.6,31.38,77.28,55.78
Dominic Thiem,73.08,30.37,49.16,41.26,84.34,24.9,76.3,51.55
Roberto Bautista Agut,72.73,32.56,60.07,43.04,83.85,36.97,71.86,57.96
Alexander Zverev,71.43,32.25,51.54,45.76,83.01,28.03,77.6,48.75
Milos Raonic,70.97,27.82,49.3,40.68,95.19,20.28,83.98,57.67
Ugo Humbert,68.97,28.08,49.46,39.04,86.06,21.86,76.8,56.46
Novak Djokovic,88.24,41.82,56.65,45.98,83.92,42.19,71.86,52.85
Gael Monfils,80.0,19.99,47.63,24.44,64.45,13.7,63.84,46.11
Andrey Rublev,79.49,36.53,53.26,47.48,81.34,35.21,75.72,55.17
Daniil Medvedev,77.78,30.06,44.18,44.44,66.67,18.16,65.82,51.16
Rafael Nadal,75.0,47.19,58.63,66.49,86.78,52.98,68.97,66.13
Dominic Thiem,73.08,37.73,48.17,47.44,83.75,32.66,68.34,63.71
Roberto Bautista Agut,72.73,42.03,56.32,48.78,67.34,45.92,58.35,55.84
Alexander Zverev,71.43,37.15,49.44,39.86,82.6,27.68,77.56,51.54
Milos Raonic,70.97,30.85,47.36,41.43,86.66,20.0,84.03,62.5
Ugo Humbert,68.97,31.13,47.82,33.0,77.12,23.99,70.94,51.47
Novak Djokovic,88.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gael Monfils,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrey Rublev,79.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniil Medvedev,77.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rafael Nadal,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominic Thiem,73.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roberto Bautista Agut,72.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexander Zverev,71.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Milos Raonic,70.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ugo Humbert,68.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
