player,win_rate,hard_1st_rt_pt_won,hard_2nd_rt_pt_won,hard_bp_convert,hard_df_to_ace,hard_1st_in,hard_1st_pt_won,hard_2nd_pt_won,clay_1st_rt_pt_won,clay_2nd_rt_pt_won,clay_bp_convert,clay_df_to_ace,clay_1st_in,clay_1st_pt_won,clay_2nd_pt_won,grass_1st_rt_pt_won,grass_2nd_rt_pt_won,grass_bp_convert,grass_df_to_ace,grass_1st_in,grass_1st_pt_won,grass_2nd_pt_won
Venus Williams,90.48,44.67,52.62,50.37,138.1,56.21,70.36,51.32,47.94,68.43,52.75,270.83,60.74,73.09,38.8,46.62,51.46,46.75,73.81,67.7,76.65,66.91
Amelie Mauresmo,88.46,43.14,65.04,55.52,107.01,58.5,78.83,49.52,42.36,57.44,44.19,186.11,56.55,72.13,59.53,42.4,56.65,40.86,123.75,61.41,74.48,50.43
Anastasia Myskina,81.25,46.47,53.51,55.91,252.38,48.87,69.76,53.27,46.33,57.95,55.83,233.4,54.36,65.81,51.74,46.81,66.62,60.15,150.0,60.82,66.81,44.96
Lindsay Davenport,81.25,42.49,59.8,54.28,79.51,60.89,78.37,47.09,40.68,59.27,61.45,167.67,61.49,60.3,42.72,47.94,64.86,53.36,36.11,60.96,81.74,48.95
Emilie Loit,76.92,25.63,51.83,45.24,333.33,59.14,58.31,52.0,41.46,61.54,45.45,0.0,56.6,66.67,52.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jennifer Capriati,76.47,44.88,55.03,47.55,101.39,70.63,66.43,59.29,45.57,51.61,51.41,183.33,60.41,71.13,47.09,33.99,61.92,37.84,70.4,62.31,65.34,51.74
Paola Suarez,76.19,40.64,59.27,54.51,194.73,67.91,66.44,46.83,47.39,72.42,60.94,487.5,63.94,61.38,43.05,41.83,64.88,41.03,168.67,68.51,63.49,50.82
Jelena Jankovic,75.0,39.54,61.97,57.09,404.0,67.02,59.34,35.38,42.62,54.55,33.33,700.0,72.73,50.0,18.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anna Smashnova,73.08,38.09,63.04,47.32,4.0,68.28,46.32,53.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maria Sharapova,72.73,39.53,51.22,46.65,110.0,63.02,69.2,52.85,53.11,70.12,59.34,200.0,60.5,66.79,43.92,42.07,59.09,49.0,108.05,60.96,76.06,51.73
