player,win_rate,surface,1st_rt_pt_won,2nd_rt_pt_won,bp_convert,hld_rate,brk_rate,1st_pt_won,2nd_pt_won
Petra Kvitova,90.0,hard,38.47,53.2,42.01,0,0,68.08,52.18
Maria Sharapova,85.71,hard,43.56,58.87,60.31,0,0,64.88,40.62
Na Li,83.33,hard,37.87,60.04,50.11,0,0,63.24,46.2
Andrea Petkovic,80.95,hard,41.75,59.1,47.91,0,0,63.53,48.49
Victoria Azarenka,80.0,hard,42.04,60.29,49.92,0,0,63.65,45.58
Caroline Wozniacki,80.0,hard,43.74,61.25,54.28,0,0,65.9,52.34
Gisela Dulko,73.33,hard,33.54,52.12,43.35,0,0,65.06,54.1
Francesca Schiavone,72.22,hard,37.53,54.42,49.09,0,0,68.63,50.0
Julia Goerges,72.0,hard,37.01,55.16,48.01,0,0,69.94,52.04
Anabel Medina Garrigues,71.88,hard,40.1,58.77,57.1,0,0,65.05,50.05
Petra Kvitova,90.0,clay,41.27,60.36,58.87,0,0,67.46,52.0
Maria Sharapova,85.71,clay,43.09,62.65,57.12,0,0,66.44,45.06
Na Li,83.33,clay,39.07,54.21,56.67,0,0,66.44,47.15
Andrea Petkovic,80.95,clay,39.15,64.29,57.43,0,0,58.56,42.6
Victoria Azarenka,80.0,clay,47.17,64.23,54.18,0,0,70.98,47.62
Caroline Wozniacki,80.0,clay,44.6,60.37,51.06,0,0,64.51,48.45
Gisela Dulko,73.33,clay,45.25,61.58,57.8,0,0,66.21,48.39
Francesca Schiavone,72.22,clay,39.56,50.89,39.47,0,0,70.39,48.2
Julia Goerges,72.0,clay,33.65,57.67,47.22,0,0,70.79,52.15
Anabel Medina Garrigues,71.88,clay,45.13,61.94,56.71,0,0,60.67,48.0
Petra Kvitova,90.0,grass,42.13,55.28,61.26,0,0,74.51,56.02
Maria Sharapova,85.71,grass,42.27,66.54,53.43,0,0,71.48,44.31
Na Li,83.33,grass,34.73,59.82,41.71,0,0,65.34,40.19
Andrea Petkovic,80.95,grass,35.47,46.54,50.1,0,0,67.36,45.72
Victoria Azarenka,80.0,grass,34.52,57.38,35.78,0,0,68.46,51.25
Caroline Wozniacki,80.0,grass,44.53,56.28,49.05,0,0,69.88,50.62
Gisela Dulko,73.33,grass,0.0,0.0,0.0,0,0,0.0,0.0
Francesca Schiavone,72.22,grass,36.48,46.76,36.92,0,0,60.73,52.46
Julia Goerges,72.0,grass,35.67,58.32,63.33,0,0,71.45,37.84
Anabel Medina Garrigues,71.88,grass,19.44,53.57,0.0,0,0,52.78,45.45
