player,win_rate,1st_rt_pt_won,2nd_rt_pt_won,bp_convert,hld_rate,brk_rate,1st_pt_won,2nd_pt_won
Simona Halep,92.86,43.01,55.82,53.11,74.77,47.48,68.26,42.54
Elina Svitolina,83.33,36.32,55.04,37.61,67.49,34.26,66.58,51.68
Nadia Podoroska,80.0,29.88,50.06,23.82,56.96,24.29,48.37,64.18
Laura Siegemund,72.73,35.94,50.27,38.65,64.01,30.47,59.86,42.21
Eugenie Bouchard,72.73,39.02,47.66,42.42,75.94,32.62,67.1,51.53
Patricia Maria Tig,70.0,38.31,64.61,57.42,67.52,47.8,65.84,45.86
Elena Rybakina,70.0,35.23,53.68,46.87,77.33,32.51,70.26,53.4
Elise Mertens,69.23,42.54,58.85,54.34,77.35,46.83,71.18,50.22
Petra Martic,60.0,37.6,51.27,37.23,75.98,31.56,65.39,53.83
Aliaksandra Sasnovich,60.0,31.32,60.97,45.38,69.89,34.54,65.12,41.82
Simona Halep,92.86,48.42,63.25,58.73,69.19,61.59,65.17,44.02
Elina Svitolina,83.33,41.04,58.01,48.15,64.14,42.21,62.31,49.52
Nadia Podoroska,80.0,51.2,60.54,56.69,57.11,63.11,58.38,37.85
Laura Siegemund,72.73,44.17,55.51,51.55,68.24,48.92,63.01,49.34
Eugenie Bouchard,72.73,41.04,55.53,51.5,72.09,40.87,64.75,47.71
Patricia Maria Tig,70.0,43.67,62.8,60.44,61.26,53.46,63.5,40.46
Elena Rybakina,70.0,41.02,55.84,46.29,76.96,39.99,72.06,45.91
Elise Mertens,69.23,38.67,54.2,47.74,70.56,38.86,67.38,45.3
Petra Martic,60.0,30.72,55.15,42.0,71.07,27.12,64.91,48.13
Aliaksandra Sasnovich,60.0,43.0,58.27,55.52,60.01,45.68,56.92,50.17
Simona Halep,92.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elina Svitolina,83.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nadia Podoroska,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Laura Siegemund,72.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eugenie Bouchard,72.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patricia Maria Tig,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elena Rybakina,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elise Mertens,69.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Petra Martic,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aliaksandra Sasnovich,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
