player,win_rate,surface,1st_rt_pt_won,2nd_rt_pt_won,bp_convert,hld_rate,brk_rate,1st_pt_won,2nd_pt_won
Petra Kvitova,90.0,hard,38.7,56.54,45.52,0,0,70.91,51.01
Ana Ivanovic,87.5,hard,40.6,59.13,48.96,0,0,67.28,48.37
Coco Vandeweghe,80.0,hard,32.02,51.91,48.11,0,0,74.64,55.35
Madison Keys,80.0,hard,38.0,53.75,49.48,0,0,68.17,55.2
Angelique Kerber,80.0,hard,40.2,60.07,48.71,0,0,63.89,43.31
Simona Halep,75.0,hard,41.96,59.74,56.26,0,0,63.66,53.29
Barbora Strycova,75.0,hard,37.94,50.71,47.69,0,0,61.47,46.19
Eugenie Bouchard,75.0,hard,38.39,59.74,48.42,0,0,65.64,51.7
Kate Makarova,75.0,hard,38.85,56.71,47.16,0,0,65.06,47.62
Caroline Wozniacki,75.0,hard,41.84,58.75,53.6,0,0,65.62,46.17
Petra Kvitova,90.0,clay,40.24,48.14,50.31,0,0,67.01,45.9
Ana Ivanovic,87.5,clay,40.27,58.49,55.98,0,0,65.4,54.39
Coco Vandeweghe,80.0,clay,38.74,49.4,66.07,0,0,71.83,44.34
Madison Keys,80.0,clay,36.71,52.27,49.62,0,0,66.42,52.96
Angelique Kerber,80.0,clay,36.96,60.14,50.83,0,0,60.84,41.91
Simona Halep,75.0,clay,45.69,61.43,56.37,0,0,69.6,48.8
Barbora Strycova,75.0,clay,34.89,47.73,52.14,0,0,60.3,48.17
Eugenie Bouchard,75.0,clay,39.38,61.5,54.26,0,0,66.32,48.44
Kate Makarova,75.0,clay,33.65,56.12,36.91,0,0,59.86,49.11
Caroline Wozniacki,75.0,clay,36.99,59.55,38.29,0,0,57.68,35.38
Petra Kvitova,90.0,grass,39.11,61.17,47.59,0,0,76.45,56.75
Ana Ivanovic,87.5,grass,41.12,64.26,52.28,0,0,76.47,54.17
Coco Vandeweghe,80.0,grass,33.78,50.45,35.91,0,0,79.98,54.83
Madison Keys,80.0,grass,35.87,53.6,45.36,0,0,76.38,54.78
Angelique Kerber,80.0,grass,38.77,59.89,46.84,0,0,64.82,46.94
Simona Halep,75.0,grass,43.27,52.81,60.96,0,0,73.89,59.16
Barbora Strycova,75.0,grass,32.19,51.69,42.75,0,0,69.5,49.37
Eugenie Bouchard,75.0,grass,39.04,51.14,46.89,0,0,66.68,48.18
Kate Makarova,75.0,grass,35.06,56.84,36.66,0,0,69.48,42.23
Caroline Wozniacki,75.0,grass,34.21,58.84,58.46,0,0,72.95,54.77
