player,win_rate,surface,1st_rt_pt_won,2nd_rt_pt_won,bp_convert,df_to_ace,1st_in,1st_pt_won,2nd_pt_won
Ashleigh Barty,100.0,hard,43.03,54.73,49.96,47.49,58.7,76.19,51.9
Liudmila Samsonova,88.89,hard,32.83,52.8,42.1,102.51,57.05,70.13,51.01
Angelique Kerber,84.62,hard,36.77,57.92,50.16,175.99,65.22,61.13,46.92
Ons Jabeur,83.33,hard,37.65,56.64,47.72,79.61,53.63,71.47,40.81
Jelena Ostapenko,80.0,hard,41.18,57.12,51.28,193.09,60.13,64.87,48.58
Katerina Siniakova,75.0,hard,40.09,56.36,55.47,232.87,62.15,62.71,43.72
Madison Keys,71.43,hard,35.55,48.49,41.12,74.15,63.63,65.23,59.92
Ajla Tomljanovic,71.43,hard,35.52,55.0,48.05,142.91,63.4,64.06,43.89
Aryna Sabalenka,70.0,hard,35.83,55.97,46.34,138.42,57.88,70.36,51.39
Elena Rybakina,70.0,hard,34.16,51.57,50.81,86.81,57.85,73.85,63.38
Ashleigh Barty,100.0,clay,39.0,53.18,43.17,59.12,59.49,75.76,50.48
Liudmila Samsonova,88.89,clay,33.84,54.26,43.75,71.03,52.69,68.7,51.5
Angelique Kerber,84.62,clay,38.82,56.23,49.67,288.5,67.26,58.8,50.46
Ons Jabeur,83.33,clay,44.31,58.81,52.46,101.98,54.32,68.92,51.88
Jelena Ostapenko,80.0,clay,39.59,56.7,42.18,163.07,55.97,63.17,50.08
Katerina Siniakova,75.0,clay,40.63,57.42,59.12,260.83,62.58,64.07,46.84
Madison Keys,71.43,clay,32.89,51.06,35.96,40.95,62.78,62.76,39.39
Ajla Tomljanovic,71.43,clay,38.69,56.8,47.81,229.06,58.31,64.78,87.11
Aryna Sabalenka,70.0,clay,43.44,55.96,56.06,110.63,58.59,71.67,52.56
Elena Rybakina,70.0,clay,40.03,59.57,54.05,103.33,58.87,69.57,49.41
Ashleigh Barty,100.0,grass,42.25,55.13,56.78,72.07,58.18,75.12,47.88
Liudmila Samsonova,88.89,grass,33.21,54.25,37.82,101.64,56.4,76.35,54.0
Angelique Kerber,84.62,grass,42.51,59.22,54.8,144.13,65.48,70.19,52.46
Ons Jabeur,83.33,grass,37.5,57.04,44.92,41.51,56.29,75.91,55.54
Jelena Ostapenko,80.0,grass,44.75,61.47,59.99,207.47,58.8,68.9,50.47
Katerina Siniakova,75.0,grass,40.59,55.09,51.16,79.5,57.25,69.63,51.03
Madison Keys,71.43,grass,32.49,56.57,41.77,50.0,64.58,73.02,47.97
Ajla Tomljanovic,71.43,grass,29.66,57.81,48.82,205.95,62.81,64.76,41.98
Aryna Sabalenka,70.0,grass,37.45,54.04,64.29,73.89,58.96,70.68,48.89
Elena Rybakina,70.0,grass,34.49,54.22,39.68,66.29,56.26,73.97,47.79
