player,win_rate,surface,1st_rt_pt_won,2nd_rt_pt_won,bp_convert,df_to_ace,1st_in,1st_pt_won,2nd_pt_won
Serena Williams,90.91,hard,42.29,57.24,54.31,48.64,59.66,78.36,59.3
Simona Halep,79.25,hard,41.21,55.78,50.53,177.43,65.66,65.85,56.18
Maria Sharapova,78.57,hard,39.89,62.33,45.45,122.89,60.58,72.54,61.35
Venus Williams,77.27,hard,39.85,59.37,45.09,102.44,57.39,70.68,56.58
Timea Bacsinszky,75.68,hard,38.77,52.61,53.9,161.69,67.6,60.74,60.19
Margarita Gasparyan,71.43,hard,46.9,48.76,57.79,130.08,60.71,69.51,54.18
Victoria Azarenka,70.97,hard,43.71,58.85,57.8,211.72,71.36,65.75,45.9
Garbine Muguruza,69.23,hard,38.9,53.15,49.66,123.24,57.65,70.76,72.48
Karolina Pliskova,66.67,hard,37.1,47.69,55.22,78.39,59.2,71.49,44.14
Belinda Bencic,66.67,hard,36.4,51.93,41.82,164.92,64.31,62.33,57.01
Serena Williams,90.91,clay,42.46,57.02,57.59,42.88,60.73,72.32,51.78
Simona Halep,79.25,clay,41.31,60.36,66.83,83.67,69.09,66.69,229.69
Maria Sharapova,78.57,clay,42.39,49.67,42.95,187.58,63.39,72.05,66.27
Venus Williams,77.27,clay,33.84,41.43,60.0,50.2,61.66,65.74,42.73
Timea Bacsinszky,75.68,clay,40.17,58.58,47.7,82.05,67.76,64.72,53.22
Margarita Gasparyan,71.43,clay,40.74,40.74,60.0,2.0,62.5,43.33,33.33
Victoria Azarenka,70.97,clay,39.39,58.55,56.87,70.52,72.69,64.7,49.5
Garbine Muguruza,69.23,clay,38.72,57.09,51.71,92.49,57.85,72.35,76.34
Karolina Pliskova,66.67,clay,34.67,45.56,45.04,37.94,65.4,72.59,48.27
Belinda Bencic,66.67,clay,31.75,52.82,45.02,169.89,66.4,63.31,60.46
Serena Williams,90.91,grass,37.37,64.23,48.89,30.54,59.28,78.63,53.38
Simona Halep,79.25,grass,36.28,59.98,50.18,135.83,65.17,72.29,52.94
Maria Sharapova,78.57,grass,38.73,56.96,56.95,352.78,64.14,74.99,36.65
Venus Williams,77.27,grass,33.44,56.67,52.18,69.64,62.94,76.02,57.73
Timea Bacsinszky,75.68,grass,36.05,66.0,48.03,45.6,70.06,73.51,72.61
Margarita Gasparyan,71.43,grass,29.03,35.71,12.5,250.0,56.45,68.57,22.58
Victoria Azarenka,70.97,grass,39.63,56.82,47.91,101.29,61.83,81.68,38.54
Garbine Muguruza,69.23,grass,34.02,57.9,50.75,63.0,63.28,67.43,45.61
Karolina Pliskova,66.67,grass,34.12,48.9,51.02,53.54,65.59,74.17,41.25
Belinda Bencic,66.67,grass,38.04,54.64,56.5,54.98,70.47,70.6,54.74
