player,win_rate,surface,1st_rt_pt_won,2nd_rt_pt_won,bp_convert,hld_rate,brk_rate,1st_pt_won,2nd_pt_won
Simona Halep,77.78,hard,41.62,61.99,54.5,66.16,47.11,64.0,48.17
Elina Svitolina,76.74,hard,39.58,55.63,50.47,75.29,42.01,68.79,48.64
Aryna Sabalenka,72.92,hard,36.39,52.95,46.03,76.89,34.02,70.11,52.99
Ashleigh Barty,71.05,hard,36.12,56.03,48.04,76.45,33.83,71.22,57.72
Su Wei Hsieh,70.0,hard,41.95,58.67,53.49,69.46,44.62,62.84,51.75
Angelique Kerber,70.0,hard,43.24,54.69,50.32,70.95,44.47,66.12,49.02
Margarita Gasparyan,68.75,hard,38.02,55.26,53.65,70.72,41.1,67.23,42.54
Caroline Wozniacki,68.42,hard,41.69,55.69,51.15,74.96,43.82,69.08,46.84
Naomi Osaka,68.18,hard,37.94,56.17,56.43,78.37,40.89,72.35,49.74
Qiang Wang,68.09,hard,41.52,59.04,51.98,71.03,48.14,65.59,51.0
Simona Halep,77.78,clay,46.4,61.06,56.19,71.88,53.53,66.29,50.33
Elina Svitolina,76.74,clay,41.83,56.12,46.47,75.31,43.24,66.28,53.75
Aryna Sabalenka,72.92,clay,33.99,51.62,50.8,67.69,30.75,69.78,42.73
Ashleigh Barty,71.05,clay,33.7,51.44,53.32,82.78,27.68,71.05,56.19
Su Wei Hsieh,70.0,clay,33.35,63.15,53.44,55.45,37.97,57.25,49.85
Angelique Kerber,70.0,clay,40.76,55.85,52.54,65.01,40.84,61.35,54.21
Margarita Gasparyan,68.75,clay,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caroline Wozniacki,68.42,clay,42.63,62.01,57.75,70.1,48.64,63.32,48.02
Naomi Osaka,68.18,clay,35.82,53.89,41.16,65.56,32.02,62.86,54.22
Qiang Wang,68.09,clay,36.06,55.7,38.49,70.04,36.67,64.14,49.94
Simona Halep,77.78,grass,48.31,52.73,41.66,73.33,51.62,67.48,56.41
Elina Svitolina,76.74,grass,36.02,45.31,32.64,74.01,27.51,65.86,45.18
Aryna Sabalenka,72.92,grass,34.79,54.7,37.16,66.6,30.81,64.1,48.55
Ashleigh Barty,71.05,grass,36.68,58.28,43.06,83.67,38.54,75.89,55.46
Su Wei Hsieh,70.0,grass,40.38,58.4,55.61,63.28,42.65,62.04,45.72
Angelique Kerber,70.0,grass,44.46,62.98,55.81,75.36,47.79,67.25,58.23
Margarita Gasparyan,68.75,grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caroline Wozniacki,68.42,grass,38.8,60.41,63.15,74.2,46.67,71.28,41.92
Naomi Osaka,68.18,grass,41.39,41.36,51.18,83.03,31.38,73.58,44.88
Qiang Wang,68.09,grass,26.53,57.14,60.0,53.85,23.08,59.65,33.33
