player,win_rate,1st_rt_pt_won,2nd_rt_pt_won,bp_convert,df_to_ace,1st_in,1st_pt_won,2nd_pt_won
Naomi Osaka,84.21,33.77,55.03,43.17,33.22,59.02,76.05,57.44
Simona Halep,83.33,43.01,55.82,53.11,77.63,69.0,68.26,42.54
Ashleigh Barty,80.0,39.55,50.98,53.01,49.65,60.66,73.54,51.65
Victoria Azarenka,78.95,39.73,61.62,54.77,74.35,68.56,64.0,43.86
Kiki Bertens,76.92,35.67,63.72,59.66,121.9,63.19,74.53,44.98
Aryna Sabalenka,76.67,38.33,57.74,49.56,105.05,62.49,69.48,50.49
Serena Williams,76.19,36.16,55.86,50.13,36.36,60.53,73.43,51.11
Garbine Muguruza,73.91,38.25,56.15,46.91,68.88,64.3,71.71,44.86
Elise Mertens,73.53,42.54,58.85,54.34,107.53,61.65,71.18,64.43
Elena Rybakina,73.33,35.23,53.68,46.87,73.45,60.26,70.26,53.4
Naomi Osaka,84.21,32.35,46.67,33.33,3.0,54.55,43.33,33.33
Simona Halep,83.33,48.42,63.25,58.73,225.07,69.32,65.17,44.02
Ashleigh Barty,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Victoria Azarenka,78.95,43.09,66.59,45.6,86.78,70.4,65.72,41.85
Kiki Bertens,76.92,45.49,56.47,55.02,138.92,62.87,61.33,156.16
Aryna Sabalenka,76.67,39.74,53.26,62.12,273.89,60.77,64.09,47.98
Serena Williams,76.19,47.62,58.62,35.71,45.45,63.01,69.57,51.85
Garbine Muguruza,73.91,37.5,62.61,42.12,86.83,63.82,67.0,46.96
Elise Mertens,73.53,38.67,54.2,47.74,128.09,60.3,67.38,99.51
Elena Rybakina,73.33,41.02,55.84,46.29,237.14,58.31,72.06,45.91
Naomi Osaka,84.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Simona Halep,83.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashleigh Barty,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Victoria Azarenka,78.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kiki Bertens,76.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aryna Sabalenka,76.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serena Williams,76.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Garbine Muguruza,73.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elise Mertens,73.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elena Rybakina,73.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
